day,hour,count
4,23,38
4,1,17
6,2,12
2,23,43
5,0,11
4,22,49
6,23,35
1,22,18
1,2,11
2,4,48
5,2,5
6,22,29
1,21,51
1,3,20
6,0,14
6,4,86
6,3,18
7,21,45
7,23,34
3,23,41
3,22,48
4,21,108
3,21,141
2,21,75
1,0,43
2,14,282
3,1,12
7,5,188
1,5,169
3,12,748
6,12,724
6,20,125
5,22,37
1,19,175
2,5,206
2,6,454
6,5,397
2,22,53
3,4,109
4,20,331
4,14,310
2,1,12
7,22,37
4,9,417
4,11,698
7,19,95
5,20,339
2,16,743
6,9,628
7,17,300
4,2,9
6,11,707
4,17,1737
7,20,56
4,8,524
7,15,528
3,20,545
3,17,2226
1,23,27
5,18,2663
6,10,539
1,13,629
4,10,418
6,16,723
1,10,2363
3,10,405
2,18,1526
7,14,731
2,8,471
3,2,7
4,16,904
1,14,525
2,17,1342
7,2,9
5,8,524
5,11,677
1,8,2860
4,19,1328
6,14,385
5,9,404
7,18,196
1,12,881
7,0,24
3,5,504
2,13,371
1,11,1304
3,0,14
3,16,937
7,9,3261
3,8,489
2,9,473
5,14,334
3,9,426
6,18,669
7,8,3398
3,18,3540
7,1,14
5,16,895
4,0,28
1,7,1595
1,9,4574
3,19,2556
6,21,49
2,10,363
3,14,280
7,11,931
3,7,695
5,23,28
1,15,505
7,13,598
1,20,88
5,17,1902
6,17,879
2,12,610
4,15,427
2,19,968
5,15,465
6,6,700
6,8,614
7,10,1262
3,15,413
2,20,253
1,6,632
3,11,646
1,17,367
4,4,103
5,7,661
4,12,744
4,13,453
5,3,37
3,6,844
6,19,375
2,15,361
5,21,92
1,16,459
4,18,2223
5,1,17
2,0,13
2,11,454
1,1,11
6,1,15
4,6,729
5,10,381
2,7,508
6,7,679
7,16,434
4,7,623
7,4,54
5,4,84
1,4,55
6,15,478
3,3,32
7,7,1402
5,5,405
4,3,22
2,3,16
5,6,730
7,6,535
7,12,633
3,13,436
2,2,7
5,13,439
4,5,422
5,12,782
7,3,22
5,19,1622
1,18,274
6,13,446
